# z      t_rms    u_rms
0.000006 0.000004 0.000046
0.000024 0.000017 0.000181
0.000054 0.000038 0.000400
0.000096 0.000067 0.000692
0.000150 0.000105 0.001044
0.000216 0.000151 0.001440
0.000294 0.000206 0.001864
0.000384 0.000269 0.002297
0.000486 0.000340 0.002721
0.000600 0.000419 0.003122
0.000726 0.000505 0.003484
0.000864 0.000599 0.003797
0.001015 0.000700 0.004052
0.001177 0.000807 0.004247
0.001351 0.000920 0.004382
0.001537 0.001037 0.004460
0.001734 0.001158 0.004489
0.001944 0.001281 0.004480
0.002166 0.001408 0.004444
0.002400 0.001536 0.004393
0.002646 0.001665 0.004339
0.002904 0.001795 0.004289
0.003173 0.001925 0.004248
0.003455 0.002055 0.004220
0.003749 0.002184 0.004203
0.004054 0.002313 0.004195
0.004371 0.002440 0.004192
0.004701 0.002566 0.004193
0.005042 0.002690 0.004195
0.005395 0.002812 0.004196
0.005760 0.002931 0.004196
0.006137 0.003048 0.004196
0.006525 0.003163 0.004195
0.006926 0.003275 0.004193
0.007338 0.003384 0.004191
0.007763 0.003490 0.004189
0.008199 0.003593 0.004186
0.008646 0.003693 0.004184
0.009106 0.003790 0.004181
0.009578 0.003884 0.004179
0.010061 0.003975 0.004176
0.010556 0.004063 0.004173
0.011062 0.004148 0.004170
0.011581 0.004231 0.004167
0.012111 0.004311 0.004164
0.012653 0.004388 0.004161
0.013207 0.004463 0.004157
0.013772 0.004536 0.004153
0.014349 0.004606 0.004150
0.014938 0.004674 0.004146
0.015538 0.004741 0.004142
0.016150 0.004805 0.004137
0.016774 0.004868 0.004133
0.017409 0.004929 0.004129
0.018056 0.004988 0.004124
0.018714 0.005046 0.004119
0.019384 0.005103 0.004114
0.020066 0.005158 0.004109
0.020759 0.005212 0.004104
0.021463 0.005266 0.004099
0.022179 0.005318 0.004093
0.022907 0.005369 0.004088
0.023646 0.005419 0.004082
0.024396 0.005468 0.004076
0.025158 0.005517 0.004070
0.025931 0.005565 0.004064
0.026716 0.005612 0.004058
0.027512 0.005659 0.004052
0.028319 0.005705 0.004045
0.029138 0.005750 0.004038
0.029968 0.005795 0.004032
0.030809 0.005839 0.004025
0.031662 0.005883 0.004017
0.032525 0.005926 0.004010
0.033400 0.005968 0.004003
0.034287 0.006010 0.003995
0.035184 0.006052 0.003988
0.036093 0.006093 0.003980
0.037012 0.006134 0.003972
0.037943 0.006174 0.003964
0.038885 0.006213 0.003955
0.039838 0.006252 0.003947
0.040802 0.006290 0.003938
0.041777 0.006328 0.003930
0.042763 0.006366 0.003921
0.043760 0.006402 0.003912
0.044768 0.006439 0.003903
0.045787 0.006474 0.003893
0.046817 0.006509 0.003884
0.047858 0.006544 0.003874
0.048910 0.006578 0.003865
0.049972 0.006611 0.003855
0.051046 0.006643 0.003845
0.052130 0.006675 0.003835
0.053224 0.006707 0.003824
0.054330 0.006737 0.003814
0.055446 0.006767 0.003803
0.056573 0.006797 0.003792
0.057711 0.006825 0.003781
0.058859 0.006853 0.003770
0.060018 0.006881 0.003759
0.061187 0.006907 0.003748
0.062367 0.006933 0.003736
0.063558 0.006959 0.003725
0.064758 0.006983 0.003713
0.065970 0.007007 0.003701
0.067192 0.007030 0.003689
0.068424 0.007052 0.003677
0.069666 0.007074 0.003665
0.070919 0.007095 0.003652
0.072183 0.007115 0.003640
0.073456 0.007135 0.003627
0.074740 0.007154 0.003614
0.076034 0.007172 0.003601
0.077338 0.007189 0.003588
0.078652 0.007206 0.003575
0.079976 0.007222 0.003561
0.081311 0.007237 0.003548
0.082656 0.007252 0.003534
0.084010 0.007266 0.003521
0.085375 0.007279 0.003507
0.086749 0.007291 0.003493
0.088134 0.007303 0.003479
0.089528 0.007315 0.003465
0.090932 0.007325 0.003450
0.092346 0.007335 0.003436
0.093770 0.007344 0.003421
0.095204 0.007353 0.003407
0.096647 0.007361 0.003392
0.098100 0.007368 0.003377
0.099563 0.007375 0.003362
0.101035 0.007381 0.003347
0.102517 0.007387 0.003332
0.104008 0.007392 0.003317
0.105509 0.007397 0.003301
0.107019 0.007401 0.003286
0.108539 0.007404 0.003270
0.110068 0.007407 0.003255
0.111607 0.007409 0.003239
0.113155 0.007411 0.003223
0.114712 0.007412 0.003207
0.116279 0.007413 0.003191
0.117854 0.007413 0.003175
0.119439 0.007413 0.003159
0.121033 0.007412 0.003143
0.122636 0.007411 0.003126
0.124248 0.007409 0.003110
0.125870 0.007408 0.003093
0.127500 0.007405 0.003077
0.129139 0.007402 0.003060
0.130787 0.007399 0.003043
0.132444 0.007395 0.003027
0.134110 0.007391 0.003010
0.135784 0.007387 0.002993
0.137467 0.007382 0.002976
0.139159 0.007377 0.002959
0.140860 0.007372 0.002942
0.142569 0.007366 0.002925
0.144287 0.007360 0.002907
0.146014 0.007354 0.002890
0.147749 0.007347 0.002873
0.149492 0.007340 0.002855
0.151244 0.007333 0.002838
0.153004 0.007326 0.002820
0.154772 0.007318 0.002803
0.156549 0.007310 0.002785
0.158334 0.007302 0.002768
0.160128 0.007293 0.002750
0.161929 0.007285 0.002732
0.163739 0.007276 0.002715
0.165556 0.007267 0.002697
0.167382 0.007258 0.002679
0.169215 0.007248 0.002661
0.171057 0.007239 0.002643
0.172906 0.007229 0.002625
0.174764 0.007219 0.002607
0.176629 0.007209 0.002589
0.178502 0.007199 0.002571
0.180383 0.007188 0.002553
0.182271 0.007178 0.002535
0.184167 0.007167 0.002517
0.186070 0.007157 0.002499
0.187981 0.007146 0.002481
0.189900 0.007135 0.002463
0.191826 0.007124 0.002444
0.193760 0.007113 0.002426
0.195700 0.007101 0.002408
0.197648 0.007090 0.002390
0.199604 0.007079 0.002372
0.201566 0.007068 0.002353
0.203536 0.007056 0.002335
0.205513 0.007045 0.002317
0.207497 0.007033 0.002298
0.209488 0.007021 0.002280
0.211486 0.007010 0.002262
0.213491 0.006998 0.002243
0.215502 0.006986 0.002225
0.217521 0.006975 0.002206
0.219546 0.006963 0.002188
0.221578 0.006951 0.002170
0.223617 0.006940 0.002151
0.225663 0.006928 0.002133
0.227715 0.006916 0.002114
0.229773 0.006904 0.002096
0.231838 0.006893 0.002078
0.233910 0.006881 0.002059
0.235988 0.006869 0.002041
0.238072 0.006858 0.002022
0.240163 0.006846 0.002004
0.242259 0.006834 0.001985
0.244362 0.006823 0.001967
0.246471 0.006811 0.001949
0.248587 0.006800 0.001930
0.250708 0.006788 0.001912
0.252835 0.006777 0.001893
0.254968 0.006765 0.001875
0.257107 0.006754 0.001857
0.259252 0.006743 0.001838
0.261403 0.006731 0.001820
0.263559 0.006720 0.001801
0.265721 0.006709 0.001783
0.267889 0.006698 0.001765
0.270062 0.006687 0.001746
0.272241 0.006676 0.001728
0.274425 0.006665 0.001709
0.276615 0.006654 0.001691
0.278810 0.006644 0.001673
0.281010 0.006633 0.001654
0.283216 0.006622 0.001636
0.285427 0.006612 0.001618
0.287643 0.006602 0.001599
0.289864 0.006591 0.001581
0.292090 0.006581 0.001563
0.294321 0.006571 0.001545
0.296557 0.006561 0.001526
0.298798 0.006551 0.001508
0.301044 0.006541 0.001490
0.303294 0.006531 0.001472
0.305550 0.006521 0.001453
0.307810 0.006511 0.001435
0.310074 0.006502 0.001417
0.312343 0.006492 0.001399
0.314617 0.006483 0.001381
0.316895 0.006474 0.001363
0.319178 0.006465 0.001344
0.321464 0.006456 0.001326
0.323756 0.006447 0.001308
0.326051 0.006438 0.001290
0.328350 0.006429 0.001272
0.330654 0.006420 0.001254
0.332962 0.006412 0.001236
0.335274 0.006403 0.001218
0.337589 0.006395 0.001200
0.339909 0.006387 0.001182
0.342232 0.006379 0.001164
0.344560 0.006371 0.001146
0.346891 0.006363 0.001128
0.349225 0.006355 0.001110
0.351563 0.006347 0.001092
0.353905 0.006339 0.001074
0.356251 0.006332 0.001056
0.358599 0.006325 0.001038
0.360952 0.006317 0.001020
0.363307 0.006310 0.001003
0.365666 0.006303 0.000985
0.368028 0.006296 0.000967
